,,,,,
Наповнення Сайту,,,,,
,,,,,
№,Розділ на Сайті,Документ,Опис,Посилання,Примітка
1,Про команду,Паспорт Маріка,опис персонажей-членів бортової команди+фото на паспорт,https://drive.google.com/file/d/1m9JzW4cgUK7neQJovJWcV7ZLp9jHr-32/view?usp=drive_link,
,,,,https://drive.google.com/file/d/1xQ3-awbsSRy5G8cxSYXVy8sTYfNdcsO0/view?usp=drive_link,
2,,Паспорт Айла,,https://drive.google.com/file/d/1Ix1DAT78J0l6szaw8S-UPJC32QdSC_In/view?usp=drive_link,
,,,,https://drive.google.com/file/d/1RLaHQ7b-CsVAjjkyMkDW1-6-bTOkT-oc/view?usp=drive_link,
3,,Паспорт Ламбі,,https://drive.google.com/file/d/1IVZoIGiMRrA1XkJ8bqijwuPH5ROJWdxi/view?usp=drive_link,
,,,,https://drive.google.com/file/d/1D4c4JcXj7zR8nMm3jQzhHctr70iaZgEC/view?usp=drive_link,
4,,Паспорт Лумі,,https://drive.google.com/file/d/1gmvV8d8tUWdjQhmpQxeSCWTYy3kG64Zp/view?usp=drive_link,
,,,,https://drive.google.com/file/d/1q8J7DYcl_OZ96p1MlSe1vAItLsHMv-EY/view?usp=drive_link,
5,,Паспорт Орбіта,,https://drive.google.com/file/d/1UKumwvN5m2eb8cBX0v7SXUNKHrQHZNMz/view?usp=drive_link,
,,,,https://drive.google.com/file/d/18292ZGdFiyYSTeE5nzoT5kiJu-HPcrOs/view?usp=drive_link,
6,STEM Марік,Загадкові плями Місяця,творче завдання,https://drive.google.com/file/d/17Vv8v1j34aIFatfXArRPniCJngRbTpul/view?usp=drive_link,
7,,Космічне сміття,комікс+створення історії,https://drive.google.com/file/d/1VFVmCm4imzb0hxt4FugZcG0RkyX69DQC/view?usp=drive_link,
8,Логіка Айла,Космічна одісея Зіркарихи та Комети,інтерактивна вистава,https://drive.google.com/file/d/1EV7HBfJvDWU7cxjJp5v6ENTSUZDOcboQ/view?usp=drive_link,
9,Спадщина Ламбі,Казка Хмаринка,присвячена Борщівській вишиванці,https://drive.google.com/file/d/1xKdUy3NW3V9slWttSBSBDZfaAyDRhcUF/view?usp=drive_link,
10,,День Вишиванки (3-4 роки),Бортова інструкція (завдання+методика),https://drive.google.com/file/d/15yyhWrIw32oB_4JZjCW03raC5zKR5mEu/view?usp=drive_link,
11,,День Вишиванки (5-6 років),Бортова інструкція (завдання+методика),https://drive.google.com/file/d/1doa2A2WtttrCyfz419VS9khJIV4Doob5/view?usp=drive_link,
12,,Казка Ламбі і Зачарований Млин,присвячена рецепту паски,https://drive.google.com/file/d/1ZpZ6FsX7pxf4MkfDk6OKf_wvjYKT0Oq4/view?usp=drive_link,
13,,Великодня пригода,Бортова інструкція (завдання+методика),https://drive.google.com/file/d/1dOoKPv0dNYEUfSoksfgqHU0GLnGFcvQS/view?usp=drive_link,
14,Арт-Люмі,Емоції - вогники,"розпізнавання сигналів тіла до того, як емоція «вибухне»",https://drive.google.com/file/d/1--ZTGMV4FnY4T-QIjnWed4V5vTwsTU3P/view?usp=drive_link,
15,,Гардероб настрою,"про те, як ми проявляємо себе зовні, коли нам по-різному всередині.",https://drive.google.com/file/d/1EMldfchlZwbd9C8cgzLMThE1trxcQzKr/view?usp=drive_link,
16,,Квітник емоцій,"переносимо людські почуття на природу (антропоморфізм), що розвиває емпатію",https://drive.google.com/file/d/1zgK5l26ARP7wbceSSZEbbqslh6hzBSdI/view?usp=drive_link,
17,,Колючий настрій,"злість (колючки) — це просто захист, і під нею завжди є місце для ніжних почуттів.",https://drive.google.com/file/d/1WH4Imw-oycIAL1E85pzzxVLphO-dn5ne/view?usp=drive_link,
18,Марік,Шукачі скарбів (рослини),"Це аркуш, для  предметів, які треба знайти на прогулянці.",https://drive.google.com/file/d/1CHyzEPPM01d_CqJV7hP_IEuiO9KTLZfe/view?usp=drive_link,тиждень природи
19,,Шукачі скарбів (комахи),"Це аркуш, для  комах, які треба знайти на прогулянці.",https://drive.google.com/file/d/1SSxDEg-_ZAKmSaPpBFYBS-1fC4Buhl2n/view?usp=drive_link,тиждень природи
20,,Тиждень погоди та одягу,календар погоди графічний,https://drive.google.com/file/d/15tdr3cJ10gnhG946Ng9dNFo_A0K7T3Eo/view?usp=drive_link,загальний для тижня природи
21,,Кольори веселки,"Це аркуш на якому треба закріпити чи намалювати предмети, всіх кольорів веселки (листя, квіти, ягоди, тощо)",https://drive.google.com/file/d/1PIplzB4Y8_NQxhT0ZCOTfft7YaEUWaLc/view?usp=drive_link,тиждень природи
22,,Природничий архітектор (дослідник будинків),"Це аркуш, на якому зображено будинки мешканців лісу/парку.",https://drive.google.com/file/d/1ektMtG0VVnEYDRYBNUyzqZUyD2qp8ndM/view?usp=drive_link,тиждень природи
23,,Дослідник мови тварин (Етолог),"Це аркуш, на якому зображено тварин. Треба  намалювати нотки чи обвести тваринку, яку почуєш",https://drive.google.com/file/d/1cGUrcr-KA4hJuQaNIyQtOqHRHQUnREYc/view?usp=drive_link,тиждень природи
24,,Планета на дотик (сенсорний детектив),"Це аркуш, на якому зображен камень, вода, кора тощо. Потрібно знайти об'єкт і обвести.",https://drive.google.com/file/d/1I8WhmEVsXOtO3bhXM1pC4eZ3fyV8JZ85/view?usp=drive_link,тиждень природи
